Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-08 00:00:00-05:00,2.75,2.990000009536743,2.75,2.9600000381469727,37300,0.0,0.0
2024-02-09 00:00:00-05:00,3.0199999809265137,3.0899999141693115,2.950000047683716,3.049999952316284,37300,0.0,0.0
2024-02-12 00:00:00-05:00,3.0899999141693115,3.259999990463257,3.0799999237060547,3.190000057220459,28900,0.0,0.0
2024-02-13 00:00:00-05:00,3.2899999618530273,3.2899999618530273,2.9000000953674316,3.069999933242798,24400,0.0,0.0
2024-02-14 00:00:00-05:00,3.180000066757202,3.5,3.109999895095825,3.450000047683716,69600,0.0,0.0
2024-02-15 00:00:00-05:00,3.5299999713897705,3.5799999237060547,3.2899999618530273,3.5399999618530273,51000,0.0,0.0
2024-02-16 00:00:00-05:00,3.490000009536743,3.5899999141693115,3.3299999237060547,3.390000104904175,62900,0.0,0.0
2024-02-20 00:00:00-05:00,3.450000047683716,3.450000047683716,3.109999895095825,3.2100000381469727,71800,0.0,0.0
2024-02-21 00:00:00-05:00,3.190000057220459,3.390000104904175,2.950000047683716,3.0999999046325684,71500,0.0,0.0
2024-02-22 00:00:00-05:00,3.0999999046325684,3.25,2.940000057220459,3.0899999141693115,35200,0.0,0.0
2024-02-23 00:00:00-05:00,3.0799999237060547,3.1500000953674316,3.009999990463257,3.059999942779541,16600,0.0,0.0
2024-02-26 00:00:00-05:00,3.1500000953674316,3.3299999237060547,3.0799999237060547,3.299999952316284,55500,0.0,0.0
2024-02-27 00:00:00-05:00,3.4000000953674316,3.4000000953674316,3.140000104904175,3.259999990463257,67700,0.0,0.0
2024-02-28 00:00:00-05:00,3.200000047683716,3.640000104904175,3.190000057220459,3.430000066757202,135500,0.0,0.0
2024-02-29 00:00:00-05:00,3.450000047683716,3.4800000190734863,3.1500000953674316,3.2699999809265137,41400,0.0,0.0
2024-03-01 00:00:00-05:00,3.2200000286102295,3.3399999141693115,3.130000114440918,3.190000057220459,37200,0.0,0.0
2024-03-04 00:00:00-05:00,3.430000066757202,3.5999999046325684,3.200000047683716,3.5899999141693115,113800,0.0,0.0
2024-03-05 00:00:00-05:00,3.5799999237060547,4.150000095367432,3.490000009536743,4.070000171661377,301400,0.0,0.0
2024-03-06 00:00:00-05:00,4.199999809265137,4.239999771118164,3.6500000953674316,3.7200000286102295,118500,0.0,0.0
2024-03-07 00:00:00-05:00,3.8499999046325684,4.449999809265137,3.799999952316284,4.210000038146973,103100,0.0,0.0
2024-03-08 00:00:00-05:00,4.199999809265137,4.199999809265137,4.010000228881836,4.199999809265137,25900,0.0,0.0
2024-03-11 00:00:00-04:00,4.400000095367432,4.650000095367432,3.8499999046325684,4.110000133514404,230100,0.0,0.0
2024-03-12 00:00:00-04:00,4.150000095367432,4.150000095367432,3.6600000858306885,3.759999990463257,56200,0.0,0.0
2024-03-13 00:00:00-04:00,3.759999990463257,3.7899999618530273,3.3499999046325684,3.5,64500,0.0,0.0
2024-03-14 00:00:00-04:00,3.7300000190734863,4.119999885559082,3.4000000953674316,3.4600000381469727,219200,0.0,0.0
2024-03-15 00:00:00-04:00,3.559999942779541,3.559999942779541,3.009999990463257,3.0999999046325684,78100,0.0,0.0
2024-03-18 00:00:00-04:00,3.1600000858306885,3.4700000286102295,3.0299999713897705,3.309999942779541,40300,0.0,0.0
2024-03-19 00:00:00-04:00,3.299999952316284,3.299999952316284,3.069999933242798,3.130000114440918,26600,0.0,0.0
2024-03-20 00:00:00-04:00,3.069999933242798,3.3499999046325684,3.059999942779541,3.25,37800,0.0,0.0
2024-03-21 00:00:00-04:00,3.240000009536743,3.75,3.1500000953674316,3.1500000953674316,1212900,0.0,0.0
2024-03-22 00:00:00-04:00,3.200000047683716,3.240000009536743,2.799999952316284,2.880000114440918,138100,0.0,0.0
2024-03-25 00:00:00-04:00,2.950000047683716,2.9700000286102295,2.630000114440918,2.7300000190734863,120000,0.0,0.0
2024-03-26 00:00:00-04:00,2.740000009536743,2.75,2.559999942779541,2.700000047683716,85000,0.0,0.0
2024-03-27 00:00:00-04:00,2.7200000286102295,2.7899999618530273,2.569999933242798,2.7899999618530273,42000,0.0,0.0
2024-03-28 00:00:00-04:00,2.880000114440918,2.9600000381469727,2.740000009536743,2.880000114440918,38100,0.0,0.0
2024-04-01 00:00:00-04:00,2.809999942779541,2.890000104904175,2.700000047683716,2.7699999809265137,47000,0.0,0.0
2024-04-02 00:00:00-04:00,3.319999933242798,3.5799999237060547,2.9100000858306885,2.9100000858306885,584800,0.0,0.0
2024-04-03 00:00:00-04:00,3.009999990463257,3.0299999713897705,2.5999999046325684,2.700000047683716,145400,0.0,0.0
2024-04-04 00:00:00-04:00,2.700000047683716,2.809999942779541,2.549999952316284,2.549999952316284,44900,0.0,0.0
2024-04-05 00:00:00-04:00,2.5999999046325684,2.7799999713897705,2.549999952316284,2.7200000286102295,134600,0.0,0.0
2024-04-08 00:00:00-04:00,2.799999952316284,2.9100000858306885,2.569999933242798,2.819999933242798,88900,0.0,0.0
2024-04-09 00:00:00-04:00,2.890000104904175,2.9200000762939453,2.75,2.8299999237060547,94600,0.0,0.0
2024-04-10 00:00:00-04:00,2.799999952316284,2.809999942779541,2.619999885559082,2.6500000953674316,87800,0.0,0.0
2024-04-11 00:00:00-04:00,2.6500000953674316,2.6700000762939453,2.200000047683716,2.2100000381469727,233200,0.0,0.0
2024-04-12 00:00:00-04:00,2.200000047683716,2.2200000286102295,1.5800000429153442,1.6200000047683716,422200,0.0,0.0
2024-04-15 00:00:00-04:00,1.600000023841858,1.6399999856948853,1.399999976158142,1.5199999809265137,131700,0.0,0.0
2024-04-16 00:00:00-04:00,1.5800000429153442,1.850000023841858,1.5,1.690000057220459,185200,0.0,0.0
